iter	Passed	Remaining
0	152	152033
1	153	76426
2	154	51180
3	154	38551
4	156	31090
5	157	26035
6	158	22436
7	159	19734
8	160	17634
9	161	15939
10	161	14551
11	162	13398
12	163	12416
13	164	11576
14	165	10846
15	165	10204
16	166	9640
17	167	9139
18	168	8689
19	169	8310
20	171	8009
21	172	7678
22	173	7374
23	174	7093
24	175	6839
25	176	6608
26	177	6389
27	178	6186
28	178	5993
29	179	5812
30	180	5643
31	181	5485
32	182	5336
33	182	5198
34	183	5069
35	184	4949
36	185	4836
37	186	4732
38	187	4628
39	188	4531
40	189	4436
41	190	4353
42	191	4267
43	192	4183
44	193	4105
45	194	4028
46	195	3954
47	195	3883
48	197	3825
49	198	3771
50	199	3710
51	200	3657
52	201	3600
53	202	3545
54	203	3491
55	203	3438
56	204	3387
57	205	3337
58	206	3289
59	207	3243
60	207	3198
61	208	3155
62	209	3113
63	210	3073
64	211	3040
65	212	3009
66	214	2988
67	215	2953
68	216	2919
69	217	2889
70	218	2860
71	219	2829
72	220	2799
73	221	2770
74	222	2740
75	223	2711
76	223	2682
77	224	2653
78	225	2632
79	227	2612
80	228	2596
81	230	2576
82	230	2549
83	231	2526
84	232	2502
85	233	2480
86	234	2457
87	235	2435
88	235	2413
89	236	2392
90	237	2370
91	238	2349
92	238	2329
93	239	2311
94	240	2295
95	242	2282
96	243	2266
97	244	2249
98	245	2232
99	246	2216
100	247	2200
101	248	2184
102	249	2168
103	249	2153
104	250	2137
105	251	2122
106	252	2107
107	253	2092
108	254	2077
109	256	2076
110	257	2062
111	258	2048
112	259	2037
113	260	2024
114	261	2014
115	262	2001
116	263	1987
117	264	1975
118	265	1963
119	266	1951
120	267	1939
121	267	1926
122	268	1915
123	271	1919
124	272	1907
125	273	1896
126	274	1885
127	275	1874
128	276	1863
129	276	1852
130	277	1841
131	278	1831
132	279	1821
133	280	1810
134	280	1800
135	281	1790
136	282	1780
137	283	1771
138	284	1765
139	285	1756
140	289	1761
141	289	1751
142	290	1742
143	291	1735
144	293	1728
145	294	1720
146	294	1711
147	295	1702
148	296	1694
149	297	1686
150	298	1678
151	299	1671
152	300	1664
153	301	1658
154	303	1652
155	304	1645
156	304	1637
157	305	1629
158	306	1621
159	307	1614
160	308	1605
161	308	1598
162	309	1591
163	310	1583
164	311	1577
165	312	1571
166	313	1564
167	315	1561
168	316	1555
169	317	1550
170	318	1544
171	319	1538
172	320	1532
173	321	1525
174	322	1518
175	323	1512
176	323	1505
177	324	1499
178	325	1493
179	326	1487
180	327	1481
181	328	1474
182	329	1470
183	330	1464
184	331	1459
185	332	1454
186	333	1448
187	334	1443
188	335	1437
189	335	1432
190	336	1426
191	337	1420
192	338	1414
193	339	1409
194	340	1403
195	340	1398
196	341	1392
197	342	1387
198	343	1381
199	344	1377
200	345	1372
201	346	1367
202	346	1362
203	347	1356
204	348	1351
205	349	1346
206	350	1340
207	350	1335
208	351	1330
209	352	1325
210	353	1320
211	353	1315
212	354	1310
213	355	1306
214	356	1301
215	357	1296
216	358	1291
217	359	1288
218	360	1285
219	361	1281
220	362	1277
